#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for TARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in TARBS."
A,neovim-nightly-bin,"a tidier vim with some useful features."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,tmux,"is a terminal multiplexer and the dropdown window in TARBS."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of TARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/tzurita/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
A,ranger-git,"is an extensive terminal file manager that everyone likes."
,ansible,"is a radically simple it automation platform."
,chrony,"is for syncing time to a time server."
A,dropbox,"a free service that lets you bring your photos, docs, and videos anywhere and share them easily."
,geoclue,"Modular geoinformation service built on the D-Bus messaging system."
A,google-chrome,"the only other program your girlfriend may know about."
,networkmanager,"does exactly what it sounds like."
,nodejs,"is a JavaScript runtime environment combined with useful libraries."
,npm,"A package manager for javascript."
,firefox,"is the only program on TARBS your girlfriend has ever heard of."
,imagemagick,"is an image viewing and manipulation program."
A,htop-vim-git,"provides system usage information and displays processes."
,redshift,"adjusts the color temperature of your screen according to your surroundings."
,remmina,"is a remote desktop client written in GTK+ from the freerdp project. It supports the protocols SSH, VNC, RDP, NX and XDMCP."
,ripgrep,"recursively searches directories for a regex pattern."
A,ruby-colorls,"recursively searches directories for a regex pattern."
A,python-ueberzug,"generates image previews in ranger and other terminal programs."
,python-jedi,"a python language server."
,python-pip,"The PyPA recommended tool for installing Python packages."
,yarn,"Fast, reliable, and secure dependency managemen, TARBS uses it for some nvim dependancies."
,weechat,"is a highly extendable and feature rich IRC client."
,yarn,"Fast, reliable, and secure dependency managemen, TARBS uses it for some nvim dependancies."
,zsh,"is a powerful shell that operates as both an interactive shell and as a scripting language interpreter."
A,libxft-bgra,"helps rendering color emojis in suckless software."
A,nerd-fonts-inconsolata,"provides extra symbols."
,powerline-fonts,"provides the powerline font for tarbs."
